InputQueueCap,ProcessQueueCap,OutputQueueCap,TotalQueueCap,TasksCreated,TasksCompleted,SystemThroughput,InputProcessed,InputOriginal,InputReprocessed,InputFailures,InputFailRate,InputMeanQueueLen,InputUtilization,ProcessProcessed,ProcessOriginal,ProcessReprocessed,ProcessFailures,ProcessFailRate,ProcessMeanQueueLen,ProcessUtilization,OutputProcessed,OutputOriginal,OutputReprocessed,OutputFailures,OutputFailRate,OutputMeanQueueLen,OutputUtilization,TotalFailures,AvgFailureRate,AvgUtilization,CostBenefitScore
1,1,1,3,3337,0,0.0000,3377,3237,140,115,0.033314,0.1105,84.35,3188,3059,129,185,0.054062,0.1305,80.15,3015,2893,122,170,0.052648,0.1164,76.35,470,0.046675,80.28,-306.0715
1,1,2,4,3322,0,0.0000,3361,3229,132,103,0.030073,0.0995,84.01,3172,3050,122,186,0.054466,0.1288,79.80,3151,3030,121,17,0.005543,0.1751,79.39,306,0.030027,81.07,-470.4044
1,1,3,5,3339,0,0.0000,3376,3236,140,112,0.032454,0.1128,84.39,3177,3047,130,196,0.057110,0.1331,79.93,3174,3044,130,0,0.000000,0.2033,79.85,308,0.029855,81.39,-465.3919
1,1,4,6,3345,0,0.0000,3388,3241,147,114,0.032958,0.1097,84.28,3189,3053,136,197,0.057301,0.1219,79.67,3184,3048,136,0,0.000000,0.1858,79.55,311,0.030086,81.17,-450.7945
1,1,5,7,3321,0,0.0000,3349,3228,121,102,0.029798,0.0985,83.60,3157,3045,112,189,0.055312,0.1307,79.46,3154,3043,111,0,0.000000,0.1893,79.38,291,0.028370,80.82,-454.4510
1,1,6,8,3328,0,0.0000,3376,3222,154,121,0.035083,0.1126,84.63,3183,3039,144,190,0.055686,0.1287,80.30,3179,3035,144,0,0.000000,0.1817,80.21,311,0.030256,81.71,-434.5567
1,1,7,9,3329,0,0.0000,3382,3226,156,121,0.035072,0.1115,84.79,3179,3036,143,199,0.058102,0.1361,80.30,3176,3034,142,0,0.000000,0.2079,80.19,320,0.031058,81.76,-417.0060
1,1,8,10,3350,0,0.0000,3375,3251,124,115,0.033189,0.1074,84.37,3181,3064,117,189,0.054942,0.1339,80.13,3180,3063,117,0,0.000000,0.1875,80.04,304,0.029377,81.51,-421.3726
1,1,9,11,3332,0,0.0000,3379,3247,132,99,0.028855,0.0969,83.56,3187,3064,123,189,0.055006,0.1227,79.29,3184,3061,123,0,0.000000,0.1800,79.23,288,0.027953,80.70,-417.4287
1,2,1,4,3353,0,0.0000,3390,3253,137,107,0.030925,0.1083,84.51,3354,3219,135,33,0.010043,0.2230,83.74,3130,3004,126,220,0.063972,0.1483,78.74,360,0.034980,82.33,-433.4779
1,2,2,5,3339,0,0.0000,3389,3228,161,123,0.035529,0.1129,84.67,3369,3211,158,16,0.004932,0.2242,84.21,3323,3167,156,43,0.013215,0.2612,83.23,182,0.017892,84.04,-611.4589
1,2,3,6,3336,0,0.0000,3369,3208,161,145,0.041655,0.1189,85.33,3337,3177,160,29,0.008959,0.2400,84.65,3332,3172,160,1,0.000315,0.2999,84.56,175,0.016976,84.85,-618.7374
1,2,4,7,3357,0,0.0000,3409,3252,157,119,0.034235,0.1077,84.92,3385,3229,156,20,0.006112,0.2253,84.40,3381,3225,156,0,0.000000,0.2913,84.28,139,0.013449,84.53,-640.8518
1,2,5,8,3326,0,0.0000,3369,3228,141,114,0.033140,0.1026,83.71,3335,3194,141,29,0.008904,0.2186,83.02,3333,3192,141,0,0.000000,0.2695,82.91,143,0.014014,83.21,-611.9919
1,2,6,9,3342,0,0.0000,3392,3231,161,127,0.036610,0.1126,84.99,3365,3205,160,25,0.007678,0.2186,84.36,3361,3201,160,0,0.000000,0.2831,84.25,152,0.014763,84.54,-607.7291
1,2,7,10,3332,0,0.0000,3382,3225,157,126,0.036437,0.1080,84.57,3358,3201,157,20,0.006163,0.2255,84.05,3354,3197,157,0,0.000000,0.2913,83.95,146,0.014200,84.19,-599.8834
1,2,8,11,3323,0,0.0000,3360,3231,129,105,0.030630,0.1004,83.98,3343,3216,127,15,0.004621,0.2054,83.58,3341,3214,127,0,0.000000,0.2612,83.52,120,0.011750,83.70,-609.4686
1,2,9,12,3324,0,0.0000,3357,3198,159,143,0.041246,0.1150,84.70,3334,3178,156,20,0.006215,0.2173,84.19,3329,3173,156,0,0.000000,0.2853,84.07,163,0.015820,84.32,-565.0189
1,3,1,5,3313,0,0.0000,3365,3226,139,100,0.029300,0.1005,83.97,3359,3220,139,1,0.000310,0.2405,83.84,3127,3005,122,230,0.066667,0.1515,78.71,331,0.032092,82.17,-450.8028
1,3,2,6,3336,0,0.0000,3385,3231,154,119,0.034443,0.1077,84.12,3381,3227,154,1,0.000309,0.2260,84.00,3332,3182,150,47,0.014356,0.2587,82.98,167,0.016369,83.70,-613.3081
1,3,3,7,3329,0,0.0000,3369,3233,136,112,0.032549,0.1105,84.81,3363,3227,136,0,0.000000,0.2441,84.68,3357,3221,136,4,0.001238,0.2971,84.50,116,0.011262,84.66,-664.0211
1,3,4,8,3339,0,0.0000,3381,3223,158,128,0.036920,0.1125,84.26,3378,3220,158,0,0.000000,0.2246,84.15,3375,3217,158,0,0.000000,0.2854,84.06,128,0.012307,84.16,-638.4861
1,3,5,9,3332,0,0.0000,3375,3228,147,119,0.034483,0.1002,83.77,3371,3224,147,0,0.000000,0.2157,83.67,3369,3222,147,0,0.000000,0.2783,83.60,119,0.011494,83.68,-631.8499
1,3,6,10,3334,0,0.0000,3369,3230,139,119,0.034463,0.1058,83.92,3364,3225,139,1,0.000310,0.2285,83.81,3363,3225,138,0,0.000000,0.2916,83.73,120,0.011591,83.82,-622.3065
1,3,7,11,3331,0,0.0000,3388,3216,172,126,0.036448,0.1104,85.04,3382,3210,172,1,0.000311,0.2391,84.92,3378,3206,172,0,0.000000,0.3099,84.84,127,0.012253,84.94,-616.8276
1,3,8,12,3325,0,0.0000,3387,3216,171,122,0.035393,0.1138,84.48,3380,3210,170,4,0.001242,0.2397,84.28,3377,3207,170,0,0.000000,0.3111,84.17,126,0.012212,84.31,-600.9823
1,3,9,13,3323,0,0.0000,3377,3218,159,118,0.034292,0.1045,84.37,3371,3213,158,0,0.000000,0.2281,84.24,3369,3211,158,0,0.000000,0.2928,84.13,118,0.011431,84.25,-598.1942
1,4,1,6,3343,0,0.0000,3390,3233,157,120,0.034652,0.1171,84.77,3387,3230,157,0,0.000000,0.2401,84.66,3126,2979,147,259,0.074233,0.1436,78.78,379,0.036295,82.74,-404.4354
1,4,2,7,3347,0,0.0000,3410,3228,182,137,0.039323,0.1168,85.51,3404,3223,181,0,0.000000,0.2440,85.39,3357,3178,179,45,0.013770,0.2678,84.33,182,0.017698,85.08,-603.8062
1,4,3,8,3317,0,0.0000,3372,3224,148,101,0.029549,0.1048,84.12,3369,3221,148,0,0.000000,0.2369,84.05,3361,3214,147,2,0.000621,0.3028,83.90,103,0.010057,84.03,-659.6996
1,4,4,9,3339,0,0.0000,3382,3224,158,132,0.038029,0.1090,84.13,3380,3223,157,0,0.000000,0.2268,84.03,3376,3219,157,0,0.000000,0.2867,83.97,132,0.012676,84.04,-623.6699
1,4,5,10,3317,0,0.0000,3364,3222,142,102,0.029833,0.1036,84.21,3362,3220,142,0,0.000000,0.2274,84.11,3357,3215,142,0,0.000000,0.2985,84.02,102,0.009944,84.11,-641.6888
